iter	Passed	Remaining
0	0	59
1	1	55
2	1	52
3	2	48
4	2	47
5	3	47
6	3	47
7	4	46
8	4	46
9	5	45
10	5	45
11	6	44
12	6	43
13	7	43
14	7	42
15	8	42
16	8	41
17	8	40
18	9	40
19	9	39
20	10	39
21	10	38
22	11	38
23	11	37
24	12	37
25	12	36
26	13	35
27	13	35
28	14	34
29	14	34
30	15	33
31	15	33
32	16	32
33	16	32
34	17	31
35	17	31
36	18	30
37	18	30
38	19	29
39	19	29
40	20	28
41	20	27
42	20	27
43	21	26
44	21	26
45	22	25
46	22	25
47	23	24
48	23	24
49	23	23
50	24	23
51	24	23
52	25	22
53	25	22
54	26	21
55	26	20
56	27	20
57	27	19
58	28	19
59	28	19
60	29	18
61	29	18
62	30	17
63	30	17
64	31	16
65	31	16
66	32	15
67	32	15
68	33	14
69	33	14
70	34	13
71	34	13
72	35	12
73	35	12
74	36	12
75	36	11
76	37	11
77	37	10
78	37	10
79	38	9
80	38	9
81	39	8
82	39	8
83	40	7
84	40	7
85	41	6
86	41	6
87	42	5
88	42	5
89	43	4
90	43	4
91	43	3
92	44	3
93	44	2
94	45	2
95	45	1
96	46	1
97	46	0
98	47	0
99	47	0
